ordinal,case_id,category,conversation_id,turn_index,http_status,question,answer,citations_text,evidence_titles_joined,answer_quality_score_0_10,factual_correctness_0_4,question_focus_0_2,completeness_0_1_5,citation_support_0_1_5,clarity_style_0_1,cap_rule_applied,critical_fail,retrieval_evidence_score_0_10,missing_expected_slots_joined,forbidden_hits_joined,audit_notes
11,G5K_0011,fact_date,,1,200,"Khi ôn lịch sử, Tết Mậu Thân 1968 nên ghi nhớ ngày hoặc năm nào?","Khi ôn lịch sử, bạn nên ghi nhớ **Tết Mậu Thân là năm 1968**. Đây là mốc năm gắn với **Tổng tiến công và nổi dậy Tết Mậu Thân**. [1][2] Tết Mậu Thân 1968 thúc đẩy cục diện đàm phán, mốc ngoại giao sau đó là Paris 1973; chiến tranh không kết thúc ngay [1]","[1]: Ý nghĩa Tổng tiến công và nổi dậy Tết Mậu Thân 1968 :: Chuẩn hóa theo canonical fact TET_MAU_THAN_1968_YEAR: Năm 1968 gắn với Tổng tiến công và nổi dậy Tết Mậu Thân, một sự kiện tạo tác động chính trị lớn trong kháng chiến chống Mỹ.. [TITLE] Ý nghĩa Tổng tiến công và nổi dậy Tết Mậu Thân 1968 [SUMMARY] Tết Mậu Thân 1968 làm phá sản chiến lược Chiến tranh cục bộ của Mỹ. Nguồn chứng nhận ghi nhận Mỹ phải... | [2]: Năm 1968: Tổng tiến công và nổi dậy Tết Mậu Thân :: Năm 1968, Tổng tiến công và nổi dậy Tết Mậu Thân diễn ra trên nhiều đô thị miền Nam.",Ý nghĩa Tổng tiến công và nổi dậy Tết Mậu Thân 1968 | Năm 1968: Tổng tiến công và nổi dậy Tết Mậu Thân | Lời kêu gọi thi đua ái quốc ngày 11/6/1948 | Năm 1972: Tiến công chiến lược và Điện Biên Phủ trên không | Năm 1930: Đảng Cộng sản Việt Nam ra đời và cao trào 1930-1931,10.0,4.0,2.0,1.5,1.5,1.0,,False,10.0,,,
12,G5K_0012,fact_date,,1,200,"Khi ôn lịch sử, Năm 1954: Điện Biên Phủ và Genève nên ghi nhớ ngày hoặc năm nào?","Khi ôn mốc **1954**, bạn nên nhớ: **Điện Biên Phủ: 7/5/1954** và **Hiệp định Genève: 21/7/1954**. Đây là hai ngày quan trọng của năm 1954 cần ghi nhớ [1][4].","[1]: Nguồn period Stage20D: diễn biến chính thời kỳ 1945-1954 :: Thời kỳ 1945-1954 gồm các mốc: xây dựng chính quyền sau độc lập, Toàn quốc kháng chiến, Việt Bắc 1947, Biên giới 1950, Điện Biên Phủ 7/5/1954 và Hiệp định Genève 21/7/1954. | [4]: Chiến thắng Điện Biên Phủ - canonical answer evidence :: Ngày 7/5/1954, Chiến dịch Điện Biên Phủ kết thúc thắng lợi. Chiến thắng làm phá sản Kế hoạch Nava và tác động trực tiếp đến đàm phán Genève.",Nguồn period Stage20D: diễn biến chính thời kỳ 1945-1954 | Ý nghĩa Chiến thắng Điện Biên Phủ 1954 | So sánh Điện Biên Phủ 1954 và Chiến dịch Hồ Chí Minh 1975 | Chiến thắng Điện Biên Phủ - canonical answer evidence | Mốc ngày 7/5/1954 trong lịch sử Việt Nam 1945-1954,10.0,4.0,2.0,1.5,1.5,1.0,,False,10.0,,,
13,G5K_0013,fact_date,,1,200,viet bac thu dong la nam nao?,"Việt Bắc Thu Đông là năm **1947**. Đây là chiến dịch **Việt Bắc Thu Đông** năm 1947, đã làm thất bại chiến lược **đánh nhanh thắng nhanh** của Pháp. [1]",[1]: Chiến dịch Việt Bắc Thu-Đông 1947 :: Chuẩn hóa theo canonical fact VIET_BAC_1947_DATE: Chiến thắng/Chiến dịch Việt Bắc Thu Đông diễn ra năm 1947; thắng lợi này bảo vệ căn cứ Việt Bắc và đánh bại chiến lược đánh nhanh thắng nhanh của Pháp.. [TITLE] Chiến dịch Việt Bắc Thu-Đông 1947 - canonical answer evidence [SUMMARY] Chiến dịch Việt Bắc Thu-Đông 1947 đánh bại cuộc tiến công lên Việt ...,Chiến dịch Việt Bắc Thu-Đông 1947 | Diễn biến chính thời kỳ 1945-1954 | Đường 9 trong Chiến dịch Đường 9 - Nam Lào năm 1971 | So sánh Đảng Cộng sản Việt Nam và Việt Minh | Đồng Khởi là chuyển biến quan trọng ở miền Nam,10.0,4.0,2.0,1.5,1.5,1.0,,False,10.0,,,
14,G5K_0014,fact_date,,1,502,"Nếu chỉ trả lời ngắn, Nhật đảo chính Pháp ở Đông Dương 1945 là mốc gì?","9Router API mode trả về câu trả lời không đạt kiểm tra citation/context-only, nên hệ thống không hiển thị câu trả lời đó. Local no-cloud mode vẫn khả dụng.",,Mốc ngày 9/3/1945 trong lịch sử Việt Nam 1930-1945 | Đường 9 trong Chiến dịch Đường 9 - Nam Lào năm 1971 | Đại hội II năm 1951 và Đảng Lao động Việt Nam | Đội Việt Nam Tuyên truyền Giải phóng quân thành lập ngày 22/12/1944 | Cao trào kháng Nhật cứu nước năm 1945,2.0,0.0,0.5,0.0,0.0,0.5,HTTP/postcheck error; no usable final answer,True,,9/3/1945 | Nhật đảo chính Pháp,,Answer was blocked by runtime/citation-context postcheck.
15,G5K_0015,fact_date,,1,200,19/8/1945 gan voi su kien nao?,Ngày 19/8/1945 gắn với sự kiện quần chúng Hà Nội giành chính quyền trong Cách mạng Tháng Tám. [1],"[1]: Mốc ngày 19/8/1945 trong lịch sử Việt Nam 1930-1945 :: Chuẩn hóa theo canonical fact HANOI_AUG19_1945_DATE: Ngày 19/8/1945 gắn với sự kiện quần chúng Hà Nội giành chính quyền trong Cách mạng Tháng Tám.. [TITLE] Mốc ngày 19/8/1945 trong lịch sử Việt Nam 1930-1945 [SUMMARY] Ngày 19/8/1945, quần chúng Hà Nội xuống đường giành chính quyền. Đây là mốc tiêu biểu trong cao trào giành chính quyền của Cách mạng...",Mốc ngày 19/8/1945 trong lịch sử Việt Nam 1930-1945 | Đường 9 trong Chiến dịch Đường 9 - Nam Lào năm 1971 | Nguồn trực tiếp: Hiệp định Genève 1954 quy định đình chỉ chiến sự và giới tuyến tạm thời | So sánh Đảng Cộng sản Việt Nam và Việt Minh | Bối cảnh chính của Đường Trường Sơn và Đoàn 559,10.0,4.0,2.0,1.5,1.5,1.0,,False,10.0,,,
16,G5K_0016,fact_date,,1,200,"Khi ôn lịch sử, Luận cương chính trị tháng 10/1930 nên ghi nhớ ngày hoặc năm nào?","Khi ôn, bạn nên ghi nhớ **Luận cương chính trị tháng 10/1930** của **Trần Phú**, tức mốc **tháng 10 năm 1930**; nếu chỉ cần nhớ năm thì là **1930**. [1]","[1]: Thông qua Luận cương chính trị tháng 10/1930 :: Chuẩn hóa theo canonical fact LUAN_CUONG_1930_TRAN_PHU: Luận cương chính trị tháng 10/1930 là văn kiện quan trọng của Đảng, gắn với Trần Phú và Hội nghị Trung ương tháng 10/1930.. [TITLE] Thông qua Luận cương chính trị tháng 10/1930 [SUMMARY] Năm 1930, Thông qua Luận cương chính trị tháng 10/1930. [YEAR] 1930 [YEARS] 1930 [DATES] [PERIOD]",Thông qua Luận cương chính trị tháng 10/1930 | Năm 1930: Đảng Cộng sản Việt Nam ra đời và cao trào 1930-1931 | Ngày 10/3/1975 mở màn chiến dịch Tây Nguyên tại Buôn Ma Thuột | Đảng Cộng sản Việt Nam thành lập năm 1930 | So sánh Đảng Cộng sản Việt Nam và Việt Minh,10.0,4.0,2.0,1.5,1.5,1.0,,False,10.0,,,
17,G5K_0017,fact_date,,1,200,"Khi ôn lịch sử, Nhật đảo chính Pháp ở Đông Dương 1945 nên ghi nhớ ngày hoặc năm nào?","Khi ôn lịch sử, bạn nên nhớ mốc **9/3/1945** — đó là ngày **Nhật đảo chính Pháp** ở Đông Dương. [1]","[1]: Mốc ngày 9/3/1945 trong lịch sử Việt Nam 1930-1945 :: Chuẩn hóa theo canonical fact NHAT_DAO_CHINH_PHAP_1945_DATE: Ngày 9/3/1945 gắn với sự kiện Nhật đảo chính Pháp ở Đông Dương, tạo bối cảnh để Đảng ra chỉ thị Nhật - Pháp bắn nhau và hành động của chúng ta.. [TITLE] Mốc ngày 9/3/1945 trong lịch sử Việt Nam 1930-1945 [SUMMARY] Nhật đảo chính Pháp ở Đông Dương ngày 9/3/1945. Sự kiện tạo bối cảnh để Đản...","Mốc ngày 9/3/1945 trong lịch sử Việt Nam 1930-1945 | Cao trào kháng Nhật cứu nước năm 1945 | Năm 1945: Nhật đảo chính Pháp, Tổng khởi nghĩa và Tuyên ngôn Độc lập | Năm 1959: Đoàn 559 và đường Trường Sơn | Năm 1930: Đảng Cộng sản Việt Nam ra đời và cao trào 1930-1931",10.0,4.0,2.0,1.5,1.5,1.0,,False,10.0,,,
18,G5K_0018,fact_date,,1,200,"Trong dữ liệu 1930-1975, Huế được giải phóng ngày 26/3/1975 cần nhớ mốc nào?","Huế được giải phóng ngày 26/3/1975. Mốc cần nhớ là **26/3/1975**, khi **Huế** được **giải phóng**. [1]","[1]: Giải phóng Huế :: Chuẩn hóa theo canonical fact HUE_1975_LIBERATION_DATE: Ngày 26/3/1975 gắn với mốc Huế được giải phóng trong diễn biến nhanh của Tổng tiến công mùa Xuân 1975.. [TITLE] Giải phóng Huế - canonical answer evidence [SUMMARY] Ngày 26/3/1975, Huế được giải phóng. [YEAR] 1975 [YEARS] 1975 [DATES] 26/3/1975 [PERIOD] 1975",Giải phóng Huế | Huế được giải phóng ngày 26/3/1975 | Chiến thắng Phước Long cuối 1974 - đầu 1975 | Ngày 10/3/1975 mở màn chiến dịch Tây Nguyên tại Buôn Ma Thuột | Bối cảnh chính của Chiến dịch Hồ Chí Minh,4.0,4.0,0.5,1.5,1.5,1.0,forbidden/wrong entity hit,True,10.0,,Đà Nẵng 29/3/1975,
19,G5K_0019,fact_date,,1,200,"Trong dữ liệu 1930-1975, Hiệp định Sơ bộ Việt - Pháp 6/3/1946 cần nhớ mốc nào?","Mốc cần nhớ là **6/3/1946**: đó là ngày ký **Hiệp định Sơ bộ Việt - Pháp**, khi Chính phủ Việt Nam Dân chủ Cộng hòa ký với Pháp trong chủ trương hòa hoãn để xử lý tình thế sau độc lập. [1]","[1]: Hiệp định Sơ bộ Việt-Pháp :: Chuẩn hóa theo canonical fact HIEP_DINH_SO_BO_1946_DATE: Ngày 6/3/1946 gắn với Hiệp định Sơ bộ Việt - Pháp; Chính phủ Việt Nam Dân chủ Cộng hòa ký với Pháp trong chủ trương hòa hoãn để xử lý tình thế sau độc lập.. [TITLE] Hiệp định Sơ bộ Việt-Pháp - canonical answer evidence [SUMMARY] Ngày 6/3/1946, Chính phủ Việt Nam Dân chủ Cộng hòa ký Hiệp định ...","Hiệp định Sơ bộ Việt-Pháp | Năm 1946: Hiệp định Sơ bộ, Tạm ước và Toàn quốc kháng chiến | Nguồn trực tiếp: Hiệp định Genève 1954 quy định đình chỉ chiến sự và giới tuyến tạm thời | Bối cảnh chính của Hiệp định Paris 1973 | Năm 1974: chuyển biến trước Tổng tiến công 1975 và Phước Long",4.0,4.0,0.5,1.5,1.5,1.0,forbidden/wrong entity hit,True,10.0,,Tạm ước 14/9/1946,
20,G5K_0020,fact_date,,1,200,Hỏi nhanh: Mặt trận Việt Minh 1941 diễn ra/gắn với thời điểm nào?,"Mặt trận Việt Minh gắn với mốc **19/5/1941**, ra đời trong bối cảnh **Hội nghị Trung ương 8** năm 1941, khi nhiệm vụ **giải phóng dân tộc** được đặt lên hàng đầu. [1][2]","[1]: So sánh Đảng Cộng sản Việt Nam và Việt Minh :: Chuẩn hóa theo canonical fact VIET_MINH_1941_FOUNDING_DATE_EXACT: Mặt trận Việt Minh ra đời trong tháng 5/1941; nguồn dữ liệu ghi mốc 19/5/1941 là ngày thành lập Mặt trận Việt Minh, gắn với Hội nghị Trung ương 8 do Nguyễn Ái Quốc chủ trì và chủ trương đặt nhiệm vụ giải phóng dân tộc lên hàng đầu.. [TITLE] So sánh Đảng Cộng sản Việt Nam và Việt Minh... | [2]: Hội nghị Trung ương 8 năm 1941 và Việt Minh :: Hội nghị Trung ương 8 năm 1941 hoàn chỉnh chuyển hướng chiến lược, đặt giải phóng dân tộc lên hàng đầu và gắn với việc thành lập Việt Minh.",So sánh Đảng Cộng sản Việt Nam và Việt Minh | Hội nghị Trung ương 8 năm 1941 và Việt Minh | Huế được giải phóng ngày 26/3/1975 | Lời kêu gọi thi đua ái quốc ngày 11/6/1948 | Đại hội I của Đảng năm 1935,10.0,4.0,2.0,1.5,1.5,1.0,,False,10.0,,,
21,G5K_0021,fact_date,,1,200,"Nếu chỉ trả lời ngắn, Mặt trận Việt Minh 1941 là mốc gì?","Mặt trận Việt Minh là mốc **19/5/1941**, gắn với **Hội nghị Trung ương 8** và chủ trương đặt nhiệm vụ **giải phóng dân tộc** lên hàng đầu. [1][4]","[1]: So sánh Đảng Cộng sản Việt Nam và Việt Minh :: Chuẩn hóa theo canonical fact VIET_MINH_1941_FOUNDING_DATE_EXACT: Mặt trận Việt Minh ra đời trong tháng 5/1941; nguồn dữ liệu ghi mốc 19/5/1941 là ngày thành lập Mặt trận Việt Minh, gắn với Hội nghị Trung ương 8 do Nguyễn Ái Quốc chủ trì và chủ trương đặt nhiệm vụ giải phóng dân tộc lên hàng đầu.. [TITLE] So sánh Đảng Cộng sản Việt Nam và Việt Minh... | [4]: Hội nghị Trung ương 8 năm 1941 và Việt Minh :: Hội nghị Trung ương 8 năm 1941 hoàn chỉnh chuyển hướng chiến lược, đặt giải phóng dân tộc lên hàng đầu và gắn với việc thành lập Việt Minh.",So sánh Đảng Cộng sản Việt Nam và Việt Minh | Đường 9 trong Chiến dịch Đường 9 - Nam Lào năm 1971 | Đội Việt Nam Tuyên truyền Giải phóng quân thành lập ngày 22/12/1944 | Hội nghị Trung ương 8 năm 1941 và Việt Minh | Lời kêu gọi thi đua ái quốc ngày 11/6/1948,10.0,4.0,2.0,1.5,1.5,1.0,,False,10.0,,,
22,G5K_0022,fact_date,,1,200,Hỏi nhanh: Trận Buôn Ma Thuột 10/3/1975 diễn ra/gắn với thời điểm nào?,"Trận Buôn Ma Thuột diễn ra ngày **10/3/1975** ở **Tây Nguyên**, và đây là mốc **mở màn Chiến dịch Tây Nguyên**. [1]","[1]: Ngày 10/3/1975 mở màn chiến dịch Tây Nguyên tại Buôn Ma Thuột :: Chuẩn hóa theo canonical fact BUON_MA_THUOT_1975_START_DATE: Ngày 10/3/1975 gắn với trận Buôn Ma Thuột, mốc mở màn then chốt của Chiến dịch Tây Nguyên và tạo đột phá cho Tổng tiến công mùa Xuân 1975.. [TITLE] Ngày 10/3/1975 mở màn chiến dịch Tây Nguyên tại Buôn Ma Thuột [SUMMARY] Ngày 10/3/1975, trận Buôn Ma Thuột mở màn chiến dịch Tây Nguyên, tạo ...",Ngày 10/3/1975 mở màn chiến dịch Tây Nguyên tại Buôn Ma Thuột | Huế được giải phóng ngày 26/3/1975 | So sánh Đảng Cộng sản Việt Nam và Việt Minh | Nguồn trực tiếp: Hiệp định Genève 1954 quy định đình chỉ chiến sự và giới tuyến tạm thời | Bối cảnh chính của Chiến dịch Hồ Chí Minh,4.0,4.0,0.5,1.5,1.5,1.0,forbidden/wrong entity hit,True,10.0,,30/4/1975,
