ordinal,case_id,category,conversation_id,turn_index,question,gold_fact_id,gold_topic,expected_answer_slots,forbidden_slots,gold_evidence_hints,canonical_answer,critical,notes
11,G5K_0011,fact_date,,1,"Khi ôn lịch sử, Tết Mậu Thân 1968 nên ghi nhớ ngày hoặc năm nào?",TET_MAU_THAN_1968_YEAR,Tết Mậu Thân 1968,"[""1968"", ""Tết Mậu Thân""]","[""Đồng Khởi 1959-1960""]","[""Tết Mậu Thân"", ""1968""]","Năm 1968 gắn với Tổng tiến công và nổi dậy Tết Mậu Thân, một sự kiện tạo tác động chính trị lớn trong kháng chiến chống Mỹ.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
12,G5K_0012,fact_date,,1,"Khi ôn lịch sử, Năm 1954: Điện Biên Phủ và Genève nên ghi nhớ ngày hoặc năm nào?",YEAR_1954_DBP_GENEVE,Năm 1954: Điện Biên Phủ và Genève,"[""1954"", ""Điện Biên Phủ"", ""Genève""]","[""chỉ nêu một trong hai mốc khi câu hỏi hỏi năm 1954""]","[""Điện Biên Phủ"", ""Genève"", ""1954""]","Năm 1954 gắn với hai mốc rất quan trọng: Chiến thắng Điện Biên Phủ kết thúc ngày 7/5/1954 và Hiệp định Genève về Đông Dương năm 1954, trong đó có nội dung vĩ tuyến 17 là giới tuyến quân sự tạm thời.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
13,G5K_0013,fact_date,,1,viet bac thu dong la nam nao?,VIET_BAC_1947_DATE,Chiến thắng Việt Bắc Thu Đông 1947,"[""1947"", ""Việt Bắc Thu Đông"", ""đánh nhanh thắng nhanh""]","[""Biên giới Thu Đông 1950""]","[""Việt Bắc Thu Đông 1947"", ""đánh nhanh thắng nhanh""]",Chiến thắng/Chiến dịch Việt Bắc Thu Đông diễn ra năm 1947; thắng lợi này bảo vệ căn cứ Việt Bắc và đánh bại chiến lược đánh nhanh thắng nhanh của Pháp.,True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
14,G5K_0014,fact_date,,1,"Nếu chỉ trả lời ngắn, Nhật đảo chính Pháp ở Đông Dương 1945 là mốc gì?",NHAT_DAO_CHINH_PHAP_1945_DATE,Nhật đảo chính Pháp ở Đông Dương 1945,"[""9/3/1945"", ""Nhật đảo chính Pháp""]","[""Tuyên ngôn Độc lập 2/9/1945""]","[""9/3/1945"", ""Nhật đảo chính Pháp""]","Ngày 9/3/1945 gắn với sự kiện Nhật đảo chính Pháp ở Đông Dương, tạo bối cảnh để Đảng ra chỉ thị Nhật - Pháp bắn nhau và hành động của chúng ta.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
15,G5K_0015,fact_date,,1,19/8/1945 gan voi su kien nao?,HANOI_AUG19_1945_DATE,Hà Nội giành chính quyền ngày 19/8/1945,"[""19/8/1945"", ""Hà Nội"", ""Cách mạng Tháng Tám""]","[""Tuyên ngôn Độc lập 2/9/1945""]","[""19/8/1945"", ""Hà Nội giành chính quyền""]",Ngày 19/8/1945 gắn với sự kiện quần chúng Hà Nội giành chính quyền trong Cách mạng Tháng Tám.,True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
16,G5K_0016,fact_date,,1,"Khi ôn lịch sử, Luận cương chính trị tháng 10/1930 nên ghi nhớ ngày hoặc năm nào?",LUAN_CUONG_1930_TRAN_PHU,Luận cương chính trị tháng 10/1930,"[""Luận cương chính trị"", ""10/1930"", ""Trần Phú""]","[""Cương lĩnh chính trị đầu tiên 1930""]","[""Luận cương chính trị tháng 10/1930"", ""Trần Phú""]","Luận cương chính trị tháng 10/1930 là văn kiện quan trọng của Đảng, gắn với Trần Phú và Hội nghị Trung ương tháng 10/1930.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
17,G5K_0017,fact_date,,1,"Khi ôn lịch sử, Nhật đảo chính Pháp ở Đông Dương 1945 nên ghi nhớ ngày hoặc năm nào?",NHAT_DAO_CHINH_PHAP_1945_DATE,Nhật đảo chính Pháp ở Đông Dương 1945,"[""9/3/1945"", ""Nhật đảo chính Pháp""]","[""Tuyên ngôn Độc lập 2/9/1945""]","[""9/3/1945"", ""Nhật đảo chính Pháp""]","Ngày 9/3/1945 gắn với sự kiện Nhật đảo chính Pháp ở Đông Dương, tạo bối cảnh để Đảng ra chỉ thị Nhật - Pháp bắn nhau và hành động của chúng ta.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
18,G5K_0018,fact_date,,1,"Trong dữ liệu 1930-1975, Huế được giải phóng ngày 26/3/1975 cần nhớ mốc nào?",HUE_1975_LIBERATION_DATE,Huế được giải phóng ngày 26/3/1975,"[""26/3/1975"", ""Huế"", ""giải phóng""]","[""Đà Nẵng 29/3/1975"", ""thiếu mốc 26/3/1975 khi sửa nhầm Huế sau 30/4""]","[""26/3/1975"", ""Huế được giải phóng""]",Ngày 26/3/1975 gắn với mốc Huế được giải phóng trong diễn biến nhanh của Tổng tiến công mùa Xuân 1975.,True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
19,G5K_0019,fact_date,,1,"Trong dữ liệu 1930-1975, Hiệp định Sơ bộ Việt - Pháp 6/3/1946 cần nhớ mốc nào?",HIEP_DINH_SO_BO_1946_DATE,Hiệp định Sơ bộ Việt - Pháp 6/3/1946,"[""6/3/1946"", ""Hiệp định Sơ bộ"", ""Việt - Pháp""]","[""Tạm ước 14/9/1946""]","[""6/3/1946"", ""Hiệp định Sơ bộ""]",Ngày 6/3/1946 gắn với Hiệp định Sơ bộ Việt - Pháp; Chính phủ Việt Nam Dân chủ Cộng hòa ký với Pháp trong chủ trương hòa hoãn để xử lý tình thế sau độc lập.,True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
20,G5K_0020,fact_date,,1,Hỏi nhanh: Mặt trận Việt Minh 1941 diễn ra/gắn với thời điểm nào?,VIET_MINH_1941_FOUNDING_DATE_EXACT,Mặt trận Việt Minh 1941,"[""19/5/1941"", ""Mặt trận Việt Minh"", ""Hội nghị Trung ương 8"", ""giải phóng dân tộc""]","[""Mặt trận Dân tộc Giải phóng miền Nam 1960""]","[""19/5/1941"", ""Mặt trận Việt Minh"", ""Hội nghị Trung ương 8"", ""giải phóng dân tộc""]","Mặt trận Việt Minh ra đời trong tháng 5/1941; nguồn dữ liệu ghi mốc 19/5/1941 là ngày thành lập Mặt trận Việt Minh, gắn với Hội nghị Trung ương 8 do Nguyễn Ái Quốc chủ trì và chủ trương đặt nhiệm vụ giải phóng dân tộc lên hàng đầu.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
21,G5K_0021,fact_date,,1,"Nếu chỉ trả lời ngắn, Mặt trận Việt Minh 1941 là mốc gì?",VIET_MINH_1941_FOUNDING_DATE_EXACT,Mặt trận Việt Minh 1941,"[""19/5/1941"", ""Mặt trận Việt Minh"", ""Hội nghị Trung ương 8"", ""giải phóng dân tộc""]","[""Mặt trận Dân tộc Giải phóng miền Nam 1960""]","[""19/5/1941"", ""Mặt trận Việt Minh"", ""Hội nghị Trung ương 8"", ""giải phóng dân tộc""]","Mặt trận Việt Minh ra đời trong tháng 5/1941; nguồn dữ liệu ghi mốc 19/5/1941 là ngày thành lập Mặt trận Việt Minh, gắn với Hội nghị Trung ương 8 do Nguyễn Ái Quốc chủ trì và chủ trương đặt nhiệm vụ giải phóng dân tộc lên hàng đầu.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
22,G5K_0022,fact_date,,1,Hỏi nhanh: Trận Buôn Ma Thuột 10/3/1975 diễn ra/gắn với thời điểm nào?,BUON_MA_THUOT_1975_START_DATE,Trận Buôn Ma Thuột 10/3/1975,"[""10/3/1975"", ""Buôn Ma Thuột"", ""Tây Nguyên""]","[""30/4/1975""]","[""10/3/1975"", ""Buôn Ma Thuột"", ""Tây Nguyên""]","Ngày 10/3/1975 gắn với trận Buôn Ma Thuột, mốc mở màn then chốt của Chiến dịch Tây Nguyên và tạo đột phá cho Tổng tiến công mùa Xuân 1975.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
23,G5K_0023,fact_date,,1,trong lich su viet nam 1930 1975 1951 gan voi su kien nao?,DAI_HOI_II_1951,Đại hội II của Đảng năm 1951,"[""1951"", ""Đại hội II"", ""Đảng Lao động Việt Nam""]","[""Hội nghị thành lập Đảng 1930""]","[""Đại hội II năm 1951"", ""Đảng Lao động Việt Nam""]",Năm 1951 gắn với Đại hội II của Đảng; đại hội quyết định đưa Đảng ra hoạt động công khai với tên Đảng Lao động Việt Nam.,True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
24,G5K_0024,fact_date,,1,Hỏi nhanh: Toàn quốc kháng chiến 1946 diễn ra/gắn với thời điểm nào?,TOAN_QUOC_KHANG_CHIEN_1946_START_DATE,Toàn quốc kháng chiến 1946,"[""19/12/1946"", ""Toàn quốc kháng chiến"", ""chống thực dân Pháp""]","[""Nam Bộ kháng chiến 23/9/1945""]","[""19/12/1946"", ""Toàn quốc kháng chiến""]","Toàn quốc kháng chiến bùng nổ ngày 19/12/1946, mở đầu cuộc kháng chiến toàn quốc chống thực dân Pháp.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
25,G5K_0025,fact_date,,1,chien dich dien bien phu bat dau ngay nao?,DBP_1954_START_DATE,Mở màn Chiến dịch Điện Biên Phủ 1954,"[""13/3/1954"", ""Chiến dịch Điện Biên Phủ"", ""Him Lam""]","[""7/5/1954 là ngày kết thúc thắng lợi""]","[""13/3/1954"", ""Him Lam"", ""Điện Biên Phủ""]","Ngày 13/3/1954 gắn với mốc mở màn Chiến dịch Điện Biên Phủ, bắt đầu bằng trận Him Lam.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
26,G5K_0026,fact_date,,1,"Nếu chỉ trả lời ngắn, Nam Bộ kháng chiến 1945 là mốc gì?",NAM_BO_KHANG_CHIEN_1945_START_DATE,Nam Bộ kháng chiến 1945,"[""23/9/1945"", ""Nam Bộ kháng chiến"", ""thực dân Pháp trở lại""]","[""Toàn quốc kháng chiến 19/12/1946"", ""Đội Việt Nam Tuyên truyền Giải phóng quân 22/12/1944"", ""thiếu mốc đúng 23/9/1945 khi sửa nhầm 19/12/1946""]","[""Nam Bộ kháng chiến bắt đầu ngày 23/9/1945"", ""23/9/1945""]","Nam Bộ kháng chiến bắt đầu ngày 23/9/1945, khi thực dân Pháp trở lại xâm lược ở Sài Gòn - Nam Bộ.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
27,G5K_0027,fact_date,,1,"Trong dữ liệu 1930-1975, Chiến thắng Việt Bắc Thu Đông 1947 cần nhớ mốc nào?",VIET_BAC_1947_DATE,Chiến thắng Việt Bắc Thu Đông 1947,"[""1947"", ""Việt Bắc Thu Đông"", ""đánh nhanh thắng nhanh""]","[""Biên giới Thu Đông 1950""]","[""Việt Bắc Thu Đông 1947"", ""đánh nhanh thắng nhanh""]",Chiến thắng/Chiến dịch Việt Bắc Thu Đông diễn ra năm 1947; thắng lợi này bảo vệ căn cứ Việt Bắc và đánh bại chiến lược đánh nhanh thắng nhanh của Pháp.,True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
28,G5K_0028,fact_date,,1,Hỏi nhanh: Hiệp định Paris 1973 diễn ra/gắn với thời điểm nào?,PARIS_1973_SIGNING,Hiệp định Paris 1973,"[""27/1/1973"", ""Hiệp định Paris"", ""Mỹ rút quân"", ""quyền dân tộc""]","[""Genève 1954""]","[""paris"", ""27/1/1973"", ""Hiệp định Paris"", ""Mỹ rút quân"", ""quyền dân tộc""]","Hiệp định Paris được ký ngày 27/1/1973 về chấm dứt chiến tranh, lập lại hòa bình ở Việt Nam; mốc này gắn với việc Mỹ rút quân và việc tôn trọng các quyền dân tộc cơ bản của Việt Nam, nhưng chiến tranh chưa kết thúc hoàn toàn ngay.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
29,G5K_0029,fact_date,,1,"Khi ôn lịch sử, Hiến pháp 1946 nên ghi nhớ ngày hoặc năm nào?",HIEN_PHAP_1946_FIRST_CONSTITUTION,Hiến pháp 1946,"[""1946"", ""Hiến pháp đầu tiên"", ""Việt Nam Dân chủ Cộng hòa""]","[""Toàn quốc kháng chiến 19/12/1946""]","[""Hiến pháp 1946"", ""9/11/1946"", ""Việt Nam Dân chủ Cộng hòa""]",Năm 1946 gắn với Hiến pháp đầu tiên của nước Việt Nam Dân chủ Cộng hòa; Quốc hội thông qua Hiến pháp ngày 9/11/1946.,True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
30,G5K_0030,fact_date,,1,"Trong dữ liệu 1930-1975, Tết Mậu Thân 1968 cần nhớ mốc nào?",TET_MAU_THAN_1968_YEAR,Tết Mậu Thân 1968,"[""1968"", ""Tết Mậu Thân""]","[""Đồng Khởi 1959-1960""]","[""Tết Mậu Thân"", ""1968""]","Năm 1968 gắn với Tổng tiến công và nổi dậy Tết Mậu Thân, một sự kiện tạo tác động chính trị lớn trong kháng chiến chống Mỹ.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
31,G5K_0031,fact_date,,1,paris 1973 ky ngay thang nao?,PARIS_1973_SIGNING,Hiệp định Paris 1973,"[""27/1/1973"", ""Hiệp định Paris"", ""Mỹ rút quân"", ""quyền dân tộc""]","[""Genève 1954""]","[""paris"", ""27/1/1973"", ""Hiệp định Paris"", ""Mỹ rút quân"", ""quyền dân tộc""]","Hiệp định Paris được ký ngày 27/1/1973 về chấm dứt chiến tranh, lập lại hòa bình ở Việt Nam; mốc này gắn với việc Mỹ rút quân và việc tôn trọng các quyền dân tộc cơ bản của Việt Nam, nhưng chiến tranh chưa kết thúc hoàn toàn ngay.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
32,G5K_0032,fact_date,,1,"Nếu chỉ trả lời ngắn, Hiến pháp 1946 là mốc gì?",HIEN_PHAP_1946_FIRST_CONSTITUTION,Hiến pháp 1946,"[""1946"", ""Hiến pháp đầu tiên"", ""Việt Nam Dân chủ Cộng hòa""]","[""Toàn quốc kháng chiến 19/12/1946""]","[""Hiến pháp 1946"", ""9/11/1946"", ""Việt Nam Dân chủ Cộng hòa""]",Năm 1946 gắn với Hiến pháp đầu tiên của nước Việt Nam Dân chủ Cộng hòa; Quốc hội thông qua Hiến pháp ngày 9/11/1946.,True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
33,G5K_0033,fact_date,,1,Hỏi nhanh: Hội nghị thành lập Đảng Cộng sản Việt Nam 1930 diễn ra/gắn với thời điểm nào?,PARTY_FOUNDING_CONFERENCE_1930,Hội nghị thành lập Đảng Cộng sản Việt Nam 1930,"[""1930"", ""Đảng Cộng sản Việt Nam"", ""3/2/1930""]","[""Việt Minh 1941""]","[""Đảng Cộng sản Việt Nam thành lập năm 1930"", ""3/2/1930"", ""Hội nghị hợp nhất các tổ chức cộng sản""]","Hội nghị hợp nhất thành lập Đảng Cộng sản Việt Nam diễn ra đầu năm 1930, thường lấy mốc ngày 3/2/1930; đây là mốc hợp nhất các tổ chức cộng sản và thành lập Đảng Cộng sản Việt Nam.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
34,G5K_0034,fact_date,,1,"Khi ôn lịch sử, Mặt trận Dân tộc Giải phóng miền Nam 1960 nên ghi nhớ ngày hoặc năm nào?",NLF_1960_FOUNDING_DATE,Mặt trận Dân tộc Giải phóng miền Nam 1960,"[""20/12/1960"", ""Mặt trận Dân tộc Giải phóng miền Nam"", ""miền Nam"", ""tập hợp lực lượng miền Nam"", ""đấu tranh chống Mỹ""]","[""Việt Minh 1941""]","[""Mặt trận Dân tộc Giải phóng miền Nam Việt Nam ra đời ngày 20/12/1960"", ""20/12/1960""]",Mặt trận Dân tộc Giải phóng miền Nam Việt Nam ra đời ngày 20/12/1960; ý nghĩa cốt lõi là tập hợp lực lượng miền Nam đấu tranh chống Mỹ và chính quyền Sài Gòn trong kháng chiến chống Mỹ.,True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
35,G5K_0035,fact_date,,1,Hỏi nhanh: Nam Bộ kháng chiến 1945 diễn ra/gắn với thời điểm nào?,NAM_BO_KHANG_CHIEN_1945_START_DATE,Nam Bộ kháng chiến 1945,"[""23/9/1945"", ""Nam Bộ kháng chiến"", ""thực dân Pháp trở lại""]","[""Toàn quốc kháng chiến 19/12/1946"", ""Đội Việt Nam Tuyên truyền Giải phóng quân 22/12/1944"", ""thiếu mốc đúng 23/9/1945 khi sửa nhầm 19/12/1946""]","[""Nam Bộ kháng chiến bắt đầu ngày 23/9/1945"", ""23/9/1945""]","Nam Bộ kháng chiến bắt đầu ngày 23/9/1945, khi thực dân Pháp trở lại xâm lược ở Sài Gòn - Nam Bộ.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
36,G5K_0036,fact_date,,1,"Nếu chỉ trả lời ngắn, Trận Buôn Ma Thuột 10/3/1975 là mốc gì?",BUON_MA_THUOT_1975_START_DATE,Trận Buôn Ma Thuột 10/3/1975,"[""10/3/1975"", ""Buôn Ma Thuột"", ""Tây Nguyên""]","[""30/4/1975""]","[""10/3/1975"", ""Buôn Ma Thuột"", ""Tây Nguyên""]","Ngày 10/3/1975 gắn với trận Buôn Ma Thuột, mốc mở màn then chốt của Chiến dịch Tây Nguyên và tạo đột phá cho Tổng tiến công mùa Xuân 1975.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
37,G5K_0037,fact_date,,1,"Khi ôn lịch sử, Chiến dịch Điện Biên Phủ kết thúc nên ghi nhớ ngày hoặc năm nào?",DBP_1954_END_DATE,Chiến dịch Điện Biên Phủ kết thúc,"[""7/5/1954""]","[""Điện Biên Phủ trên không 1972""]","[""7/5/1954"", ""dien bien phu""]",Chiến dịch Điện Biên Phủ kết thúc thắng lợi ngày 7/5/1954.,True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
38,G5K_0038,fact_date,,1,Hỏi nhanh: Hà Nội giành chính quyền ngày 19/8/1945 diễn ra/gắn với thời điểm nào?,HANOI_AUG19_1945_DATE,Hà Nội giành chính quyền ngày 19/8/1945,"[""19/8/1945"", ""Hà Nội"", ""Cách mạng Tháng Tám""]","[""Tuyên ngôn Độc lập 2/9/1945""]","[""19/8/1945"", ""Hà Nội giành chính quyền""]",Ngày 19/8/1945 gắn với sự kiện quần chúng Hà Nội giành chính quyền trong Cách mạng Tháng Tám.,True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
39,G5K_0039,fact_date,,1,"Khi ôn lịch sử, Tuyên ngôn Độc lập 1945 nên ghi nhớ ngày hoặc năm nào?",TUYEN_NGON_DOC_LAP_1945,Tuyên ngôn Độc lập 1945,"[""2/9/1945"", ""Hồ Chí Minh"", ""Quảng trường Ba Đình"", ""Việt Nam Dân chủ Cộng hòa""]","[""30/4/1975""]","[""tuyen ngon doc lap""]","Ngày 2/9/1945, Hồ Chí Minh đọc Tuyên ngôn Độc lập tại Quảng trường Ba Đình, Hà Nội, khai sinh nước Việt Nam Dân chủ Cộng hòa.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
40,G5K_0040,fact_date,,1,"Khi ôn lịch sử, Chiến dịch Hồ Chí Minh 1975 nên ghi nhớ ngày hoặc năm nào?",HO_CHI_MINH_CAMPAIGN_FINAL,Chiến dịch Hồ Chí Minh 1975,"[""chiến dịch cuối cùng"", ""30/4/1975"", ""Sài Gòn"", ""chính quyền Sài Gòn đầu hàng"", ""Tây Nguyên"", ""Chiến dịch Hồ Chí Minh là chiến dịch cuối""]","[""Tây Nguyên mở đầu""]","[""chien dich ho chi minh""]","Không. Tổng tiến công mùa Xuân 1975 mở đầu bằng Chiến dịch Tây Nguyên, nổi bật là Buôn Ma Thuột; Chiến dịch Hồ Chí Minh là chiến dịch cuối cùng và quyết định, kết thúc bằng mốc 30/4/1975 khi Sài Gòn được giải phóng và chính quyền Sài Gòn đầu hàng.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
